COUNTY,TRUMP,TRUMP,CLINTON,CLINTON,OTHERS #,OTHERS %,TOTAL
OSCEOLA,2531,78.77%,552,17.18%,130,4.05%,3213
PAGE,4893,69.46%,1807,25.65%,344,4.88%,7044
PALO ALTO,3081,65.51%,1398,29.73%,224,4.76%,4703
PLYMOUTH,9680,73.39%,2885,21.87%,625,4.74%,13190
POCAHONTAS,2702,69.91%,963,24.92%,200,5.17%,3865
POLK,93492,40.38%,119804,51.74%,18259,7.89%,231555
POTTAWATTAMIE,24447,57.28%,15355,35.98%,2878,6.74%,42680
POWESHIEK,4946,50.30%,4304,43.77%,583,5.93%,9833
RINGGOLD,1824,67.38%,753,27.82%,130,4.80%,2707
SAC,3703,71.05%,1270,24.37%,239,4.59%,5212
SCOTT,39149,45.41%,40440,46.90%,6631,7.69%,86220
SHELBY,4362,68.48%,1662,26.09%,346,5.43%,6370
SIOUX,14785,81.26%,2300,12.64%,1109,6.10%,18194
STORY,19458,38.40%,25709,50.74%,5500,10.86%,50667
TAMA,4971,56.80%,3196,36.52%,585,6.68%,8752
TAYLOR,2111,69.69%,758,25.02%,160,5.28%,3029
UNION,3525,60.44%,1922,32.96%,385,6.60%,5832
VAN BUREN,2527,70.96%,845,23.73%,189,5.31%,3561
WAPELLO,8715,57.53%,5594,36.93%,840,5.54%,15149
WARREN,14814,54.26%,10411,38.14%,2075,7.60%,27300
WASHINGTON,6173,56.48%,3943,36.08%,813,7.44%,10929
WAYNE,2069,70.37%,719,24.46%,152,5.17%,2940
WEBSTER,10056,57.69%,6305,36.17%,1069,6.13%,17430
WINNEBAGO,3447,59.56%,1931,33.37%,409,7.07%,5787
WINNESHIEK,5344,47.03%,5254,46.24%,764,6.72%,11362
WOODBURY,24727,56.56%,16210,37.08%,2781,6.36%,43718
WORTH,2453,57.62%,1530,35.94%,274,6.44%,4257
WRIGHT,3800,63.06%,1896,31.46%,330,5.48%,6026
IOWA TOTAL,800983,51.15%,653669,41.74%,111379,7.11%,1566031
